13	29	16	25	29	40	0	0
6	23	26	24	24	16	27	29
30	23	15	7	5	33	35	0
5	9	33	40	15	21	26	0
26	40	33	14	18	26	0	0
19	18	38	16	10	22	0	0
14	27	21	16	8	24	15	0
28	19	21	6	21	11	0	0
16	5	26	23	18	26	10	0
9	24	34	14	34	10	13	0
24	23	6	19	24	21	11	24
11	14	12	38	34	24	29	38
36	7	38	37	21	21	0	0
28	34	38	9	5	34	33	23
35	7	21	26	5	40	24	0
32	16	33	18	11	39	13	0
33	32	38	30	18	31	29	16
27	39	29	23	30	12	7	12
30	26	18	14	11	6	25	0
29	32	19	22	15	12	40	0
16	30	20	35	28	25	18	0
24	28	29	30	15	27	25	0
36	28	21	12	16	18	0	0
7	38	38	11	10	27	0	0
23	24	17	18	19	36	34	12
20	19	17	35	36	14	11	22
37	28	36	29	36	15	36	0
27	20	24	27	19	9	15	0
39	10	31	10	29	24	35	0
25	20	9	8	14	34	33	0
34	24	21	36	38	15	12	33
21	19	8	20	27	33	0	0
24	19	28	22	12	20	14	24
11	31	30	21	9	24	0	0
27	23	37	23	25	40	33	0
39	22	28	15	15	29	0	0
24	8	29	13	7	39	37	5
22	14	35	36	11	8	9	23
33	21	21	37	7	36	10	25
8	27	21	26	29	7	35	0
36	30	33	18	32	9	0	0
5	40	34	26	33	27	30	34
23	38	12	28	14	18	34	0
29	8	6	36	36	16	0	0
25	38	7	8	26	33	22	18
22	11	10	24	6	16	17	10
16	39	11	20	17	26	32	0
26	26	27	27	24	21	15	0
37	13	6	25	27	15	34	38
29	7	22	13	21	34	11	0
38	16	29	9	33	25	35	0
8	33	9	5	10	7	37	0
23	8	13	7	39	14	12	0
9	17	15	16	34	11	7	21
24	10	11	32	17	25	0	0
29	11	16	17	27	12	5	34
10	7	33	27	16	22	34	11
32	30	15	40	0	0	0	0
19	8	32	28	23	38	0	0
36	27	24	24	0	0	0	0
16	11	24	13	32	8	26	0
7	28	31	31	38	38	38	29
13	22	32	36	17	39	36	0
8	15	37	35	19	26	26	40
38	34	10	26	10	39	33	32
6	34	33	28	17	17	34	15
9	38	12	37	24	37	25	0
5	5	6	20	24	5	0	0
13	27	9	15	11	0	0	0
5	5	10	27	9	10	20	27
27	9	9	15	19	16	20	0
23	9	38	27	34	11	36	0
14	18	15	7	11	26	7	11
12	13	38	40	23	28	17	12
8	17	27	12	9	17	0	0
18	14	36	26	35	7	14	21
5	19	18	17	32	7	30	35
26	20	13	30	25	7	15	19
22	27	12	6	19	0	0	0
16	33	24	7	22	6	10	0
31	14	14	37	36	39	13	0
34	35	16	8	37	31	34	11
14	31	6	17	22	31	18	24
23	34	26	23	24	6	28	0
21	11	39	14	37	9	38	0
17	7	35	24	25	14	20	8
34	26	5	32	32	36	26	14
39	30	27	23	28	39	39	17
27	9	18	38	21	40	0	0
11	8	9	10	13	17	28	10
9	26	24	20	26	15	16	0
25	33	20	15	11	12	36	0
16	34	23	26	12	31	0	0
14	8	36	6	35	30	15	17
24	31	10	7	9	12	37	0
11	37	20	16	28	20	22	0
29	21	7	8	20	7	12	32
7	7	18	11	26	28	0	0
6	13	30	18	31	32	11	0
15	31	8	6	16	35	16	30
8	6	28	30	7	32	39	6
37	20	15	27	34	20	32	29
35	24	26	11	18	0	0	0
19	38	10	7	28	7	34	0
11	12	20	19	36	34	20	0
20	9	5	21	15	9	30	0
20	28	13	12	40	5	22	0
31	9	14	35	34	15	34	0
19	39	23	26	33	38	20	0
38	14	13	6	28	29	35	37
